"","X","Y"
"119",1133225.88386889,777312.148153986
"120",1120117.09705536,782400.392103125
"121",1367080.24762572,866699.789885578
"122",1368996.14458255,876368.434332889
"123",1358546.27683283,881064.405263287
"124",1363802.9580188,861450.567325845
"125",1356295.68508431,872597.774036238
"126",1349996.1428447,880824.16408842
"127",1348559.53333886,873200.326148313
"128",1339113.61510705,879423.816215318
"129",1342488.70397407,866358.012302932
"130",1333205.02802877,874577.662464639
"131",1350572.41775681,863458.043334948
"132",1357173.2693668,855626.642292943
"133",1372685.78103266,854690.645603515
"134",1366194.24215689,853820.49519546
"135",1377452.17841837,839858.035265252
"136",1367234.02257217,846017.988286694
"137",1377553.54893213,854986.68454444
"138",1379396.52993597,849462.532848102
"139",751943.460912826,1339268.10932889
"140",731936.977549779,1338119.52481446
"141",730446.730871091,1313188.57020975
"142",749411.051168795,1341568.02835261
"143",748635.212276837,1310496.0028587
"144",1095525.4757692,845997.362811011
"145",1106759.10949446,839983.572869331
"146",1105744.52882587,831324.743202323
"147",1100777.53548927,826110.826348931
"148",1085832.85951865,847938.573599038
"149",1065824.94132961,850212.288845149
"150",1086331.96749141,836734.576039283
"151",1065604.90233545,834306.713745327
"152",1094077.5004684,833004.271274084
"153",1045425.59109898,843470.983488419
"154",1259273.17001181,883713.891584264
"155",1256322.73968114,888935.321671785
"156",1246543.1594744,889668.517954928
"157",1261141.68324215,894999.824467462
"158",1255566.09893145,883872.046650737
"159",1274111.98064536,870662.579815092
"160",1277830.21412186,882269.028380187
"161",1260709.15322865,864471.32540843
"162",1267536.84942057,876791.501335662
"163",1264950.57682368,885755.787399127
"164",1273372.9425854,894618.587673188
"165",1263790.41774015,891529.588935629
"166",1252571.13099932,875645.61457861
"167",1246036.2485077,868976.892970991
"168",1237081.6695103,877734.719362667
"169",1234119.02634367,884098.9117957
"170",1242951.87710403,885010.978949996
"171",1250752.30899183,913139.814978491
"172",1254895.74257691,916203.064492459
"173",1248715.01090017,900795.075520223
"174",1256373.46406119,909008.890295227
"175",1266071.07618789,903872.954614473
"176",1057861.21860791,1281437.25933509
"177",1074198.85751906,1276916.9757026
"178",1086705.56584363,1269767.03729033
"179",1059368.30216395,1257247.58535041
"180",1237376.04683879,695735.366966264
"181",1202674.13531354,712491.365873587
"182",1227074.13049573,692038.1429696
"183",1236437.18651761,672076.393240528
"184",1213779.36466083,721204.332529151
"185",1227265.55792437,680771.35852811
"186",1216763.35176386,711499.259123907
"187",1218779.3096505,695685.458786064
"188",1220998.42293138,695364.789378626
"189",1197623.82978261,722445.090416139
"190",1215617.21534789,715590.09800249
"191",1210949.36208973,694046.229478713
"192",1220951.70286174,673057.891515019
"193",1220648.92424548,698444.024903266
"194",1218050.08722614,697842.69396695
"195",1215158.44043281,704622.506594178
"196",1219930.60580756,696194.876400313
"197",1237426.14079606,995176.744378076
"198",1244987.91712443,990575.738583878
"199",1241328.70555887,987549.536346285
"200",1241102.59223156,999564.440068765
"201",1251946.96053473,983466.683930962
"202",1220986.69704475,997917.106709473
"203",1249632.26463043,963518.831010411
"204",1250991.42465613,972274.667095248
"205",1219271.14508197,997537.572738257
"206",1227594.0455081,1002303.44939431
"207",1230415.93878767,991097.348607143
"208",1243298.64435411,982723.169442936
"209",1223607.22596973,994540.147162552
"210",1224348.75898778,991328.326566999
"211",1232019.01599721,976529.904159182
"212",1219944.13644172,995241.559398239
"213",1217847.59718095,994429.273084288
"214",1216397.57902636,990541.292817953
"215",1216913.03609025,992628.545762094
"216",1219314.88516114,991206.977308625
"217",1224146.10728112,987954.783648481
"218",1220316.29936428,986504.416605955
"219",1256444.06572569,1006738.04665853
"220",1249040.79721537,999556.008508722
"221",1252988.28269144,999316.214987219
"222",1257721.0474865,992982.06057719
"223",1247521.64207652,993921.135882331
"224",1252820.25834971,993768.400845738
"225",1255114.43198102,994262.75560545
"226",1251874.17620586,991417.409623832
"227",1264975.77184159,994323.635155152
"228",1272569.41185991,988467.494769436
"229",1241784.63744054,1010717.90770204
"230",1262458.64971665,980567.781934919
"231",1249263.84106852,992189.824094075
"232",1250138.14745529,994282.649861494
"233",1245494.57416868,998519.885372519
"234",1248886.7545072,989745.973082249
"235",1205655.62499567,989077.134646876
"236",1210963.56872607,979740.900313714
"237",1212071.3319746,995756.097678901
"238",1210054.63536352,995341.270523063
